t,ax,ay,az,magnitud,etiqueta,registro
3.72768225,2.1665647025748016,1.1695020698783105,0.32689459484122885,2.483666196981612,caminata,caminata/caminata_001
3.73764225,2.222959460274835,1.0854212811914914,-0.2045214210152982,2.4822403452008595,caminata,caminata/caminata_001
3.74760125,2.1934682580330684,0.9871851994655849,-0.7386369826023694,2.5162317478941527,caminata,caminata/caminata_001
3.75756125,2.0804760907715374,0.8768629335986958,-1.2502346091846772,2.580766542443251,caminata,caminata/caminata_001
3.76752025,1.892002178518992,0.758456898027935,-1.7156068074614872,2.664251457256797,caminata,caminata/caminata_001
3.77748025,1.641251920791286,0.637550293650419,-2.1143615987413913,2.751491089330851,caminata,caminata/caminata_001
3.78744025,1.3456782328019292,0.5205506820686425,-2.430913154496875,2.826864284599634,caminata,caminata/caminata_001
3.79739925,1.025612378802652,0.4136435342878606,-2.6555191360938215,2.876588883933862,caminata,caminata/caminata_001
3.80735925,0.7025848124033796,0.321642136062029,-2.7847753645533597,2.8899918535064653,caminata,caminata/caminata_001
3.81731825,0.39750451316725305,0.24695930762931625,-2.821535564224045,2.8600807117622025,caminata,caminata/caminata_001
3.82727825,0.12889037322653424,0.18891932508187642,-2.7742831263864445,2.783693608329123,caminata,caminata/caminata_001
3.83723725,-0.08865488371350752,0.14357351093450116,-2.6560374335453183,2.661392096223763,caminata,caminata/caminata_001
3.84719725,-0.24556790220777214,0.10409046056959188,-2.482924013499073,2.497208456534348,caminata,caminata/caminata_001
3.85715625,-0.3379356533098896,0.061681410863337637,-2.2725705555455313,2.2983868325755346,caminata,caminata/caminata_001
3.86711625,-0.3675478202453693,0.006916823326886095,-2.0425048287938643,2.0753229190317133,caminata,caminata/caminata_001
3.87707525,-0.34141021494121226,-0.06878553943065047,-1.8087224778767184,1.8419471727705619,caminata,caminata/caminata_001
3.88703525,-0.27079911895310127,-0.1717518635603438,-1.584562372428644,1.616684501558334,caminata,caminata/caminata_001
3.89699425,-0.16998348782724074,-0.30495451136107743,-1.379978775650121,1.423458134747276,caminata,caminata/caminata_001
3.90695425,-0.054770135950431856,-0.4673940088829818,-1.2012412476046817,1.2901307927022694,caminata,caminata/caminata_001
3.91691425,0.058966104836293075,-0.6540398009827957,-1.0510353952866591,1.2393225830810006,caminata,caminata/caminata_001
3.92687325,0.15661867046841618,-0.856313699683669,-0.9288904585751405,1.2730436144284931,caminata,caminata/caminata_001
3.93683325,0.2259332807182119,-1.0630192946340276,-0.8318304584631713,1.3685750910079322,caminata,caminata/caminata_001
3.94679225,0.25776158726982007,-1.261567168136078,-0.7551368478039396,1.4927238239212273,caminata,caminata/caminata_001
3.95675225,0.2464513104933192,-1.4393235815363823,-0.6931202682500892,1.6164177452223385,caminata,caminata/caminata_001
3.96671125,0.18988324321779076,-1.584915840417164,-0.6398217134960608,1.7197051178388656,caminata,caminata/caminata_001
3.97667125,0.08920314084850908,-1.6893529397031675,-0.5895922033850411,1.7915048203991528,caminata,caminata/caminata_001
3.98663025,-0.05167503433480203,-1.7468567497799286,-0.537528401304194,1.8284188786035442,caminata,caminata/caminata_001
3.99659025,-0.2267013801598729,-1.7553400793309244,-0.47976458320560356,1.8337901638874428,caminata,caminata/caminata_001
4.00654925,-0.4283616034979735,-1.7165089865990926,-0.41363642466955747,1.8168631913934008,caminata,caminata/caminata_001
4.01650925,-0.6483024666031962,-1.6356049309180776,-0.33773882663417376,1.7915264701543057,caminata,caminata/caminata_001
4.02646825,-0.8778487634218759,-1.5208354763078937,-0.25189976866100305,1.773982099934901,caminata,caminata/caminata_001
4.03642825,-1.1083805623945675,-1.3825677660149969,-0.1570874740221845,1.7789540672014181,caminata,caminata/caminata_001
4.04638825,-1.3315728684373582,-1.2323744398868963,-0.055262107622711665,1.815182350229293,caminata,caminata/caminata_001
